comentario_p1,previsao,probabilidade_de_acerto
"tive um pequeno susto, quando a recepcionista informou que meu parto nao estava autorizado! e eu insistir pra que ela verificasse novamente.",QUEIXA,97.79%
"minha internacao demorou quase um dia para ser autorizada, mais de uma vez, inclusive no dia dessa internacao que logo apos tive meu bb",QUEIXA,98.08%
"apos o procedimento cirurgico a paciente que e idosa ficou por mais de 4 dias no ambulatorio esperando uma vaga no quarto, muito barulho dos outros pacientes, ela sem conseguir dormir direito nem descansar",QUEIXA,98.15%
perdao avaliei errado,ELOGIO,91.6%
720251105wamid.hbgmntu4mzg3ndq0odiwfqiaehggqum2qtzenjdereq3rji4nzleoduxoufbnda4qzm3muqa.ogg,OUTROS,85.24%
"minha cirurgia estava marcada para as 14 30, no entanto foi realizado as 19 20 da noite e minha esposa q era minha acompanhante ficou a noite toda nas cadeiras, pq nao tinha leito disponivel horario marcado no hospital era as 11 hrs da manha e as 14 30 a cirurgia, entramos no bloco as 16 30, e a cirurgia as 19 30. nao houve enfermaria para o acompanhante, fiz a cirurgia as 19 30 com alta as 10 hrs do dia seguinte e o acompanhante ficou nas cadeiras nos corredores.",QUEIXA,98.02%
nao tenho interesse,OUTROS,82.79%
"cheguei demorou um pouco a ser atendida, fiquei em observacao, demora na medicacoes demora na liberacao dos exames",QUEIXA,98.16%
desculpe,ELOGIO,91.67%
desculpe e o 5,ELOGIO,91.67%
otimo atendimento pela recepcao,ELOGIO,96.95%
"a internacao foi mioto demorada, nao teve quarto disponivel no pos cirurgico",QUEIXA,97.75%
"na recepcao foi um pouco demorado, eu mesma me locomovi ate a observacao da obstetricia no primeiro momento, nao lembro do porteiro.",QUEIXA,97.64%
sr. juarez faleceu,OUTROS,82.85%
"vcs estao equivocados nao fiz nenhuma cirurgia no hapvida neste periodo, precisei sim, mas o hapvida me negou somente em fortaleza ou natal ou se eu tivesse entre a vida e a morte , tive que ser socorrida em um hospital que jesus providenciou e fiz pelo sus mesmo pagando um plano de saude ha mais de 10 anos .",QUEIXA,97.54%
os atendentes trabalham como se estivessem insatisfeito com a empresa e nos trata mal nao existe um acolhimento descente,QUEIXA,94.15%
foi mal recepcionada,QUEIXA,95.87%
"centro cirurgico lotado, sem leito vazio pra pos cirurgico",QUEIXA,97.19%
os maqueiros demora pra ajudar e ai da tem o problema com a digital dele que sempre da erro e eu tenho que fica segurando um rapaz especial de 19 anos nos bracos ate da certo e n ter nem um conforto,QUEIXA,97.76%
falta de quarto disponivel,QUEIXA,97.91%
agilidade e disponibilidade,OUTROS,83.17%
fui encaminhada ate la com ordem da medica ao chegar ja entrar em atendimento. porem o recepcionista disse que teria que aguardar. quando cheguei em quandro de emergencia,QUEIXA,97.92%
"perdao, 5 muito satisfeito",ELOGIO,93.51%
desculpa eu errei,OUTROS,86.29%
n funcionou,OUTROS,85.24%
tem dias que porteiro para todo mundo parece ate um super protocolo tem dias que passa quem quem quer ninguem nem ver . os maqueiros sao nota 10,QUEIXA,96.15%
errei,OUTROS,85.24%
"nao tinha maqueiro disponivel, esperei por mais de 1h",QUEIXA,97.61%
fui mal atendido por um membro da equipe,QUEIXA,92.3%
desculpa numerei errado 5,ELOGIO,99.55%
"passei mais de 5 horas para ser atendida,estava muito mal ,solicitei uma priorizacao e me informaram que nao tinha como priorizar",QUEIXA,98.22%
"esperei 2 horas e meia para ser atendida foi uma cesariana de emergencia, mas antes disso esperei 3 horas por um atendimento",QUEIXA,97.09%
minha mae morreu sem o atendimento necessario,QUEIXA,92.41%
minha mae morreu sem o atendimento necessario,QUEIXA,92.41%
errei kkkk,OUTROS,85.24%
"cheguei pra fazer uma cirurgia de emergencia no domingo so foi feita na terca feira, eu ja morta de fome em jejum. todo muito demorado",QUEIXA,97.97%
digitei errado o correto e o numero 5 fui muito bem atendido e recepcionado desde da entrada ate a sala da cirurgia .todos me tratam muito bem.,OUTROS,82.51%
"eu cheguei com dores as 23h da noite e nao me senti acolhida. as pessoas da recepcao da emergencia nem olham pra gente, so mostram o totem e pronto. o parto e um momento muito sensivel e eu acho que o acolhimento e fundamental no processo.",QUEIXA,98.0%
"recepcionistas sem acolhimento e nao conversam, nem explicam o procedimento, como se voce soubesse.",QUEIXA,96.83%
"1o fui transferida sem ser comunicada, e tambem os meus familiares nao sabiam, 2o nao fiz nenhuma cirurgia!",QUEIXA,94.76%
essa pesquisa eu ja fiz,OUTROS,86.84%
nenhuma,OUTROS,85.55%
atendimento,OUTROS,81.75%
"sendo que ao amanhecer, ainda nao tinha se quer uma cadeira pra sentar, eu procurei saber o motivo de tanto descaso, e perderam meu prontuario, meu marido ficou fora de si e pediu uma resposta imediata, arrumaram um lugar pra eu ficar, em uma cadeira qbrada, diga se de passagem, fizemos 2 relatorios de reclamacao por escrito, tirei a foto e coloquei tenho aqui no meu celular registrada. e so na apos as 14hs subimos para um leito, no qual aguardei a cirurgia ate a meia noite. os atendentes nada contra, mas o encarregado da enfermaria, muito enjoado, tratando a gte com insatisfacao, nao tinha toalha para tomar banho, antes da cirurgia, me enxuguei com o lencol. mas ao entrar no centro cirurgico o rapaz q estava la era muito atencioso, extremamente educado e sem falar do medico, um verdadeiro profissional. e essa foi a triste experiencia que tive.",QUEIXA,98.23%
"muito demorado auxilio no quarto e quando preciso tem que ir ficar indo ate a recepcao chamar alguem porque tem uma enfermeira especifica para atender que fica rodando no hospital atendendo e o medico so passa pela manha. para complementar apos alta hospitalar, fui orientado a marcar uma consulta com neurologista porque meus exames deram alteracoes graves. ao chegar na consulta o medico disse que tenho uma doenca chamada esclerose multipla e que devo procurar um especialista na area de doencas autoimunes. ate ai tudo bem, porem depois ele disse que no hapvida nao existia esse tratamento, me orientou a recorrer a emergencia do sus. como assim ? pago esse plano a mais de 13 anos e nesse momento que mais preciso nao podem me atender ? um absurdo. fico no aguardo de uma resposta positiva para meu tratamento seja la onde for, mas a responsabilidade e toda de voces da rede hapvida. abri uma reclamacao junto ao sac que ate hoje nao resolveu nada.",QUEIXA,98.17%
errei e o 5,OUTROS,85.24%
nao fiz nenhuma cirurgia,QUEIXA,94.82%
muito satisfeito,ELOGIO,93.51%
nao tem porteiro disponivel atendimento pessimo,QUEIXA,96.91%
muito bem recebido,ELOGIO,99.28%
"por nao ter canto, me colocaram em um local que nao era apropriado e la fiquei ate a cirurgia. cheguei ao hospital com a perna fraturada numa ambulancia do samu, pois foi negada a do hapvida. ao chegar ao hospital, perna fraturada e gestante de 37 semanas, nao fui colocada como emergencia, esperei muito pra ser atendida. nao tinha maca. ninguem pra dar apoio. muito mal assistida. me fizeram ir na maternidade, sendo que quando eu cheguei la fiquei sabendo que era so solicitar uma avaliacao do obstetra la no hospital mesmo. assim como foi feito posteriormente. ai fiquei passando de maca pra maca com a perna quebrada e gestante de 37 semana.",QUEIXA,98.22%
passei mais de 10 dias indo todos os dias no hospital pra conseguir um atendimento adequado com a cirurgia,QUEIXA,97.36%
"havia um moleque na recepcao que mal sabia passar as informacoes, fiquei esperando muito tempo",QUEIXA,98.08%
ia colocar o 5. fui muito bem atendida,OUTROS,84.63%
demora no atendimento,QUEIXA,97.91%
"primeiramente a cirurgia atrasou, nao me deram nenhuma orientacao sobre isso, fiquei esperando com um jejum de agua e comida prolongado.",QUEIXA,97.42%
desculpa. 4,ELOGIO,97.65%
muita demora. nao tinha leito disponivel,QUEIXA,98.2%
nao e os enxames as vezes demora consultas tambem,QUEIXA,96.95%
demorou demais,QUEIXA,95.39%
demora no atendimento,QUEIXA,97.91%
eu nao fiz cirurgia. o que preciso e fazer o exame que dei entrada em 25.6 e ate agora nao esta liberado. ja tenho ido ai e me prometem que vao me ligar e nada. avaliacao endoscopica da degluticao fees,QUEIXA,96.52%
"sou um paciente que esta na fila de transplante e algumas coisas me deixam a desejar, fui la fazer alguns exames de emergencia e eles ficam argumentando que no emergencia nao fazem exames mais eu nao tenho nenhum medico ou especialista que me atende no hapvida",QUEIXA,97.83%
"ha fila de espera muito desorganizado uma demora pra ser atendido , os recepcao todo mal humorado , por demora deles quase perco o horario da cirurgia , e nao e so no tereza nao e em todos as clinica da hapvida pago um plano muito caro pra ser mau atendido e os consultorio todos em mau conservados ?",QUEIXA,97.68%
hospitalidade poderia ser melhor,QUEIXA,96.18%
"pouca gente no atendimento, grande fila, demora no atendimento.",QUEIXA,96.05%
a recepcionista nao estava no momento,QUEIXA,97.51%
"na verdade minha insatisfacao nao foi na chegada, foi com a demora pra entrar na sala de cirurgia, q estava agendada a cirurgia para as 16 hs e so entrei na sala de cirurgia as 23 30 eu achei isso um absurdo. eu nao sei pq aconteceu esse episodio, so sei q minha cirurgia estava agendada pra as 16 hs e so entrei entrei na sala de cirurgia as 23 30,isso e um absurdo, uma respeito",QUEIXA,98.06%
"falta de explicacao coloca a gente para um lugar e pra outro nao tem uma pessoa que direcione, certo",QUEIXA,98.21%
os maqueiros demoram a chegar,OUTROS,89.92%
"so a demora do atendimento mesmo, que e muito intenso.",QUEIXA,97.94%
"atendimento, acolhimento e cuidado muito bom e profissionais maravilhosos",ELOGIO,95.01%
tempo de espera,QUEIXA,97.9%
a questao da estrutura do hospital... espera de longas horas por falta de centro cirurgico e falta de leito no hospital antonio prudente.,QUEIXA,97.61%
perdao,OUTROS,85.24%
"estava com a pressao alta, recepcionista nao deu atencao.",QUEIXA,97.09%
"a internacao leva muito tempo, pediram que eu eu chegasse as 23h, recepcionista comecou a chamar para abrir o atendimento ja era 00 00, subi para o quarto ja era mais de 01 00, fora que tinham varias pessoas la que estavam desde 21 00 esperando pra internacao",QUEIXA,98.09%
desorganizacao,QUEIXA,93.31%
"nao teve auxilio, e na recepcao a moca nem olhava pra mim",QUEIXA,97.78%
desculpa,ELOGIO,97.65%
"nao tem um q possa ajudar a retirar a minha mae do carro,cadeira de rodas faltando",QUEIXA,97.62%
lotacao,OUTROS,85.24%
"ja cheguei com minha mae desorientada, tive sozinha que pegar uma cadeira de rodas e esperar pra ela passar uma digital",QUEIXA,98.11%
todas muito descaso,OUTROS,51.45%
toda equipe muito solicita,OUTROS,74.66%
errei,OUTROS,85.24%
demorou muito pra chegar um maqueiro pra me atender,QUEIXA,98.07%
errei e 5,OUTROS,85.24%
desculpa errei no que eu falei,OUTROS,56.92%
nao tive suporte na questao do maqueiro . estava com quadro de urgencia perna quebrada e com mta dor . nao apareceu um maqueiro pra me ajudar. minha esposa ficou subindo e descendo comigo na rampa varias vezes .para fazer nos exames pois estava tendo reforma.,QUEIXA,98.13%
horario equivocado da internacao,QUEIXA,97.41%
desatencao no atendimento.,QUEIXA,95.18%
corrigindo 5,OUTROS,85.24%
"muita falta de comunicacao entre maqueiro , medico e recepcionista!",QUEIXA,97.56%
"muito lotado , o totem sem funcionar , ate pelo motivo que cheguei pela emergencia",QUEIXA,97.55%
chegada ao hospital foi tranquila. pessoal bem acolhedor. errei a nota. nesse caso seria 4.,OUTROS,74.89%
nao houve,QUEIXA,91.46%
"ate a data de hoje o material colhido para biopsia ainda nao saiu o resultado no aplicativo, sendo que este resultado deveria sair com no maximo 15 dias",QUEIXA,95.06%
nao vi muita atencao,QUEIXA,95.67%
pouco maqueiro para muita demanda,QUEIXA,97.29%
errei,OUTROS,85.24%
so tinha uma recepcionista e precisei esperar uns 20 min,QUEIXA,94.64%
"foi maravilhoso, fui bem assistida",ELOGIO,93.55%
perdao,OUTROS,85.24%
"demoraram muito para atender, cheguei no hospital com dores do parto, passei pela consulta medica, que me recomendou fazer o exame da escuta do bebe, demoram 2 hs e meia para me atenderem e fazer o exame. realizaram os procedimentos para minha internacao e me largaram numa sala onde fiquei sozinha com meu marido, esperando evoluir a dilatacao para o nascimento do bebe, no qual, nao houve nenhum acolhimento da enfermagem em orientar o que poderia ser feito para alivio da dor, etc. solicitei a analgesia, a enfermeira saiu da sala informando que ia solicitar e voltou horas depois, me incentivando a nao fazer a analgesia para nao atrapalhar o parto, dizendo que a diminuicao da dor poderia comprometer o trabalho de parto. a medica obstetra de plantao sugeriu estourar a bolsa para acelerar a dilatacao, pois, ja nao aguentava mais as dores e me transferiu para sala de parto humanizado, que nao tem nada de humanizado, junto com a equipe para realizar o parto sentada. finalizado o parto, a medica perguntou se queriamos a pintura da placenta, dissemos que sim, mas, nao recebemos nada, pois, esqueceram e jogaram a placenta fora. fiquei decepcionada com a falta de atencao, acolhimento e empatia dos profissionais do hospital vasco lucena.",QUEIXA,98.26%
desculpe,ELOGIO,91.67%
atendimento rapido,ELOGIO,99.1%
mta espera na recepcao,QUEIXA,97.73%
"entendo que o trabalho dos porteiros, as vezes exageram .",QUEIXA,93.42%
muita demora no atendimento,QUEIXA,98.07%
quando chega no hospital demora para abrir atendimento por causa da digital e facial,QUEIXA,96.87%
totem nao funcionou com minha digital,QUEIXA,97.55%
reatividade,OUTROS,85.24%
falta de estacionamento para os pacientes,QUEIXA,97.0%
espera na hora do atendimento.,QUEIXA,97.65%
a demora,QUEIXA,98.06%
desculpe e nota 4,ELOGIO,95.81%
"cheguei passando muito mal e fui em direcao a recepcao e eles somente me apontaram o totem, nao tiver nenhum apoio",QUEIXA,97.6%
desculpa e 5 . muito satisfeito,ELOGIO,99.42%
desculpa respondi errado,ELOGIO,99.55%
o totem nao funciona a digital nao funciona,QUEIXA,93.66%
precisa melhorar nus resultados dos exames estao demorando,OUTROS,76.0%
recepcao ambiente dedicacao dos profissionais,OUTROS,86.74%
desculpa mandei errado,ELOGIO,99.55%
errei,OUTROS,85.24%
"as recepcao, as atendente, as infermeira muito ignorante, agem como se a gente tivesse pedido favor e como se a gente estivesse em um hospital publico, e a 4 vez que as recepcao e enfermagem agem como se eu tivesse chegando num hospital publico",QUEIXA,95.69%
muito demorado,QUEIXA,95.27%
muita demora no atendimento,QUEIXA,98.07%
"foi mais especificamente com o recepcionista, eu estava com muita dor devido as contracoes, me encaminharam para o consultorio, porem o recepcionista simplesmente nao colocou no sistema meu nome e a medica nao me chamava pq nao aparecia pra ela meus dados , e meu esposo foi atras dele na recepcao, e nao havia ninguem la , haviam saido do posto deles",QUEIXA,97.94%
muito satisfeita,ELOGIO,97.7%
eu escolha a opcao 4.,QUEIXA,95.18%
demora para o atendimento,QUEIXA,98.08%
